time,x,y,action,interactions,target_obj
24:34.8,472,33,standing,none,none
24:35.0,472,33,standing,none,none
24:35.2,463,19,standing,none,none
24:35.4,463,19,standing,none,none
24:35.6,442,2,standing,none,none
24:35.8,442,2,standing,none,none
24:36.0,442,2,standing,none,none
24:36.8,246,189,sitting,eating,food
24:37.0,246,189,sitting,eating,food
24:37.3,245,192,sitting,eating,food
24:37.5,245,192,sitting,eating,food
24:37.7,245,192,sitting,eating,food
24:37.9,244,192,sitting,eating,food
24:38.1,244,192,sitting,eating,food
24:38.9,473,21,walking,none,none
24:39.1,473,21,walking,none,none
24:39.3,473,21,walking,none,none
24:39.5,474,25,walking,none,none
24:39.7,474,25,walking,none,none
24:40.0,475,26,standing,none,none
24:40.2,475,26,standing,none,none
24:40.4,474,25,standing,none,none
24:40.6,474,25,walking,none,none
24:40.8,474,25,walking,none,none
24:41.0,473,10,walking,none,none
24:41.2,473,10,walking,none,none
24:41.4,472,0,walking,none,none
24:41.6,472,0,walking,none,none
24:42.9,245,192,sitting,eating,food
24:43.1,245,192,sitting,eating,food
24:43.3,245,192,sitting,eating,food
24:43.5,250,188,sitting,eating,food
24:43.7,250,188,sitting,eating,food
24:43.9,250,188,sitting,eating,food
24:44.1,247,191,sitting,eating,food
24:44.3,247,191,sitting,eating,food
24:44.7,248,191,sitting,eating,food
24:44.9,248,191,sitting,eating,food
24:45.4,243,195,sitting,eating,food
24:45.6,243,195,sitting,eating,food
24:46.4,253,187,sitting,eating,food
24:46.6,253,187,sitting,eating,food
24:46.8,247,190,sitting,eating,food
24:47.0,247,190,sitting,eating,food
24:47.2,247,190,sitting,eating,food
24:47.4,246,189,sitting,eating,food
24:47.6,246,189,sitting,eating,food
24:48.1,248,190,sitting,eating,food
24:48.3,248,190,sitting,eating,food
24:48.5,252,190,sitting,eating,food
24:48.7,252,190,sitting,eating,food
24:48.9,252,190,sitting,eating,food
24:49.3,249,191,sitting,eating,food
24:49.5,249,191,sitting,eating,food
24:49.9,245,194,sitting,eating,food
24:50.1,245,194,sitting,eating,food
24:50.3,242,196,sitting,eating,food
24:50.5,242,196,sitting,eating,food
24:50.8,242,196,sitting,eating,food
24:51.0,251,188,sitting,eating,food
24:51.2,251,188,sitting,eating,food
24:51.6,250,188,sitting,none,none
24:51.8,250,188,sitting,none,none
24:52.0,247,190,sitting,none,none
24:52.2,247,190,sitting,none,none
24:52.4,248,189,sitting,none,none
24:52.6,248,189,sitting,none,none
24:52.8,248,189,sitting,none,none
24:53.0,251,188,sitting,eating,food
24:53.2,251,188,sitting,eating,food
24:53.7,249,189,sitting,eating,food
24:53.9,249,189,sitting,eating,food
24:54.1,242,193,sitting,eating,food
24:54.3,242,193,sitting,eating,food
24:54.5,242,193,sitting,eating,food
24:54.7,248,190,sitting,eating,food
24:54.9,248,190,sitting,eating,food
24:55.3,248,189,sitting,eating,food
24:55.5,248,189,sitting,eating,food
24:55.7,251,187,sitting,eating,food
24:55.9,251,187,sitting,eating,food
24:56.2,258,188,sitting,eating,food
24:56.4,257,190,sitting,eating,food
24:56.6,259,189,sitting,eating,food
24:56.8,264,187,sitting,eating,food
24:57.0,257,187,sitting,eating,food
24:57.2,257,187,sitting,eating,food
24:57.4,259,186,sitting,eating,food
24:57.6,256,186,sitting,none,none
24:57.8,262,182,sitting,none,none
24:58.0,255,185,sitting,eating,food
24:58.2,255,185,sitting,eating,food
24:58.4,246,191,sitting,eating,food
24:58.6,244,195,sitting,eating,food
24:58.9,254,189,sitting,eating,food
24:59.1,261,183,sitting,eating,food
24:59.3,258,188,sitting,eating,food
24:59.5,256,191,sitting,eating,food
24:59.7,264,189,sitting,eating,food
24:59.9,265,192,sitting,eating,food
25:00.1,265,190,sitting,eating,food
25:00.3,265,190,sitting,eating,food
25:00.5,259,191,sitting,eating,food
25:00.7,256,192,sitting,eating,food
25:00.9,264,189,sitting,eating,food
25:01.1,258,189,sitting,eating,food
25:01.4,261,191,sitting,eating,food
25:01.6,258,193,sitting,eating,food
25:01.8,260,190,sitting,eating,food
25:02.0,263,186,sitting,eating,food
25:02.2,259,189,sitting,eating,food
25:02.4,256,191,sitting,eating,food
25:02.6,259,190,sitting,eating,food
25:02.8,256,191,sitting,eating,food
25:03.0,258,189,sitting,eating,food
25:03.2,255,189,sitting,eating,food
25:03.4,258,189,sitting,eating,food
25:03.7,256,189,sitting,eating,food
25:03.9,256,189,sitting,eating,food
25:04.1,263,187,sitting,eating,food
25:04.3,255,189,sitting,eating,food
25:04.5,255,188,sitting,eating,food
25:04.7,262,185,sitting,eating,food
25:04.9,255,187,sitting,eating,food
25:05.1,255,187,sitting,eating,food
25:05.3,255,190,sitting,eating,food
25:05.5,255,190,sitting,eating,food
25:05.7,260,190,sitting,eating,food
25:05.9,258,190,sitting,eating,food
25:06.1,259,190,sitting,eating,food
25:06.4,254,192,sitting,eating,food
25:06.6,254,192,sitting,eating,food
25:06.8,264,191,sitting,eating,food
25:07.0,258,191,sitting,eating,food
25:07.2,258,190,sitting,eating,food
25:07.4,259,191,sitting,eating,food
25:07.6,257,191,sitting,eating,food
25:07.8,260,193,sitting,eating,food
25:08.0,260,192,sitting,eating,food
25:08.2,261,191,sitting,eating,food
25:08.4,255,193,sitting,eating,food
25:08.6,258,192,sitting,eating,food
25:08.8,254,192,sitting,eating,food
25:09.1,257,192,sitting,eating,food
25:09.3,257,192,sitting,eating,food
25:09.5,265,192,sitting,eating,food
25:09.7,258,192,sitting,eating,food
25:09.9,257,190,sitting,eating,food
25:10.1,264,188,sitting,eating,food
25:10.3,256,192,sitting,eating,food
25:10.5,256,192,sitting,eating,food
25:10.7,263,187,sitting,eating,food
25:10.9,254,189,sitting,eating,food
25:11.1,258,190,sitting,eating,food
25:11.3,257,192,sitting,eating,food
25:11.6,257,192,sitting,eating,food
25:11.8,257,192,sitting,eating,food
25:12.0,264,188,sitting,eating,food
25:12.2,263,186,sitting,eating,food
25:12.4,263,186,sitting,eating,food
25:12.6,257,188,sitting,eating,food
25:12.8,257,188,sitting,eating,food
25:13.0,257,191,sitting,eating,food
25:13.2,257,191,sitting,eating,food
25:13.4,258,193,sitting,eating,food
25:13.6,259,192,sitting,eating,food
25:13.8,259,192,sitting,eating,food
25:14.1,256,193,sitting,eating,food
25:14.3,257,194,sitting,eating,food
25:14.5,257,194,sitting,eating,food
25:14.7,256,190,sitting,eating,food
25:14.9,256,190,sitting,eating,food
25:15.1,265,193,sitting,none,none
25:15.3,257,193,sitting,eating,food
25:15.5,256,191,sitting,eating,food
25:15.7,265,191,sitting,eating,food
25:15.9,255,194,sitting,eating,food
25:16.1,258,191,sitting,eating,food
25:16.3,263,186,sitting,none,none
25:16.6,259,188,sitting,eating,food
25:16.8,256,189,sitting,eating,food
25:17.0,259,188,sitting,eating,food
25:17.2,257,188,sitting,eating,food
25:17.4,259,188,sitting,eating,food
25:17.6,257,189,sitting,eating,food
25:17.8,259,188,sitting,eating,food
25:18.0,262,185,sitting,eating,food
25:18.2,255,188,sitting,eating,food
25:18.4,256,191,sitting,eating,food
25:18.6,257,191,sitting,eating,food
25:18.8,255,187,sitting,eating,food
25:19.1,255,187,sitting,eating,food
25:19.3,257,189,sitting,eating,food
25:19.5,257,189,sitting,eating,food
25:19.7,255,190,sitting,eating,food
25:19.9,255,190,sitting,eating,food
25:20.1,256,192,sitting,eating,food
25:20.3,264,189,sitting,none,none
25:20.5,256,189,sitting,eating,food
25:20.7,256,189,sitting,eating,food
25:20.9,246,188,sitting,none,none
25:21.1,251,188,sitting,none,none
25:21.3,248,188,sitting,none,none
25:21.6,232,135,sitting,eating,food
25:21.8,222,117,sitting,eating,food
25:22.0,217,116,sitting,none,none
25:22.2,232,190,sitting,none,none
25:22.4,193,132,sitting,none,none
25:22.6,198,132,sitting,eating,food
25:22.8,156,150,sitting,none,none
25:23.0,93,118,walking,none,none
25:23.2,126,180,walking,eating,food
25:23.4,105,201,walking,none,none
25:23.6,126,220,walking,eating,food
25:23.8,118,235,walking,none,none
25:24.0,167,239,sitting,eating,food
25:24.2,148,292,walking,none,none
25:24.5,168,297,walking,eating,food
25:24.7,156,402,walking,none,none
25:24.9,200,332,walking,eating,food
25:25.1,225,353,walking,eating,food
25:25.3,220,462,walking,none,none
25:25.5,249,375,sitting,eating,food
25:25.7,254,404,walking,none,none
25:25.9,266,383,walking,eating,food
25:26.1,274,387,sitting,eating,food
25:26.3,280,387,sitting,eating,food
25:26.5,289,435,sitting,none,none
25:26.7,281,391,sitting,eating,food
25:27.0,294,437,sitting,none,none
25:27.2,291,424,sitting,none,none
25:27.4,293,437,sitting,none,none
25:27.6,287,425,sitting,none,none
25:27.8,289,438,sitting,none,none
25:28.2,289,434,sitting,none,none
25:28.4,281,390,sitting,eating,food
25:28.6,280,391,sitting,eating,food
25:28.8,284,391,sitting,eating,food
25:29.0,299,421,sitting,none,none
25:29.2,293,386,sitting,eating,food
25:29.4,283,301,sitting,none,none
25:29.7,277,246,sitting,none,none
25:29.9,269,256,sitting,eating,food
25:30.1,276,269,sitting,none,none
25:30.3,288,291,sitting,none,none
25:30.5,277,268,sitting,none,none
25:30.7,271,254,sitting,eating,food
25:30.9,279,266,sitting,none,none
25:31.1,274,252,sitting,eating,food
25:31.3,271,255,sitting,eating,food
25:31.5,275,305,sitting,none,none
25:31.7,264,261,sitting,eating,food
25:31.9,282,358,sitting,none,none
25:32.2,262,262,sitting,eating,food
25:32.4,267,312,sitting,none,none
25:32.6,262,266,sitting,eating,food
25:32.8,266,315,sitting,none,none
25:33.0,262,266,sitting,eating,food
25:33.2,263,264,sitting,eating,food
25:33.4,263,264,sitting,eating,food
25:33.6,276,301,sitting,none,none
25:33.8,273,308,sitting,none,none
25:34.0,266,260,sitting,eating,food
25:34.2,274,308,sitting,none,none
25:34.4,266,263,sitting,eating,food
25:34.7,269,309,sitting,eating,food
25:34.9,261,264,sitting,eating,food
25:35.1,262,316,sitting,eating,food
25:35.3,261,371,sitting,eating,food
25:35.5,250,241,sitting,eating,food
25:35.7,246,229,sitting,eating,food
25:35.9,245,179,sitting,eating,food
25:36.1,251,191,sitting,eating,food
25:36.3,244,179,sitting,eating,food
25:36.5,247,181,sitting,eating,food
25:36.7,241,180,sitting,eating,food
25:37.0,249,183,sitting,eating,food
25:37.2,240,176,sitting,eating,food
25:37.4,248,182,sitting,eating,food
25:37.6,239,174,sitting,eating,food
25:37.8,248,180,sitting,eating,food
25:38.0,244,178,sitting,eating,food
25:38.2,249,178,sitting,eating,food
25:38.4,245,180,sitting,eating,food
25:38.6,245,183,sitting,eating,food
25:38.8,245,177,sitting,eating,food
25:39.0,244,177,sitting,none,none
25:39.2,245,180,sitting,none,none
25:39.5,247,174,sitting,none,none
25:39.7,243,180,sitting,none,none
25:39.9,246,173,sitting,none,none
25:40.1,244,182,sitting,none,none
25:40.3,252,181,sitting,none,none
25:40.5,245,181,sitting,eating,food
25:40.7,250,182,sitting,eating,food
25:40.9,243,171,sitting,eating,food
25:41.1,248,183,sitting,eating,food
25:41.3,242,171,sitting,eating,food
25:41.5,250,177,sitting,eating,food
25:41.7,243,171,sitting,eating,food
25:41.9,248,182,sitting,eating,food
25:42.1,245,179,sitting,eating,food
25:42.4,247,182,sitting,eating,food
25:42.6,246,179,sitting,eating,food
25:42.8,244,176,sitting,eating,food
25:43.0,244,177,sitting,eating,food
25:43.2,244,174,sitting,eating,food
25:43.4,245,175,sitting,eating,food
25:43.6,246,173,sitting,eating,food
25:43.8,243,181,sitting,eating,food
25:44.0,247,182,sitting,eating,food
25:44.2,241,181,sitting,none,none
25:44.4,252,191,sitting,none,none
