Id,x,y,Expression,Action,Gesture,Interaction
person1,182,234,Neutral,Sitting,Down,Reading Book
person1,176,224,Neutral,Sitting,Down,Reading Book
person1,174,218,Neutral,Sitting,Down,Reading Book
person1,174,214,Neutral,Sitting,Down,Reading Book
person1,173,208,Neutral,Sitting,Down,Reading Book
person1,173,205,Neutral,Sitting,Down,Reading Book
person1,166,213,Neutral,Sitting,Down,Reading Book
person1,158,264,Sad,Sitting,Down,Reading Book
person1,159,277,Neutral,Sitting,Down,Reading Book
person1,169,307,Neutral,Sitting,Down,Reading Book
person1,187,382,Neutral,Sitting,Down,Reading Book
person1,195,423,Neutral,Sitting,Down,Reading Book
person1,205,431,Neutral,Sitting,Down,Reading Book
person1,217,430,Neutral,Sitting,Down,Reading Book
person1,235,411,Neutral,Sitting,Down,Reading Book
person1,248,401,Sad,Sitting,Down,Reading Book
person1,258,404,Neutral,Sitting,Down,Reading Book
person1,265,410,Neutral,Sitting,Down,Reading Book
person1,274,419,Neutral,Sitting,Down,Reading Book
person1,278,424,Sad,Sitting,Down,Reading Book
person1,278,419,Sad,Sitting,Down,Reading Book
person1,279,418,Sad,Sitting,Down,Reading Book
person1,280,396,Sad,Sitting,Down,Reading Book
person1,275,360,Sad,Sitting,Down,Reading Book
person1,271,342,Sad,Sitting,Down,Reading Book
person1,261,334,Sad,Sitting,Down,Reading Book
person1,247,343,Neutral,Sitting,Down,Reading Book
person1,233,346,Neutral,Sitting,Down,Reading Book
person1,219,347,Happy,Sitting,Down,Reading Book
person1,206,341,Happy,Sitting,Down,Reading Book
person1,196,332,Happy,Sitting,Down,Reading Book
person1,186,326,Happy,Sitting,Down,Reading Book
person1,184,322,Happy,Sitting,Down,Reading Book
person1,186,329,Happy,Sitting,Down,Reading Book
person1,193,364,Sad,Standing,Both Hands Up,Reading Book
person1,199,424,Sad,Standing,Both Hands Up,Reading Book
person1,206,451,Sad,Standing,Both Hands Up,Reading Book
person1,215,453,Neutral,Standing,Both Hands Up,Reading Book
person1,224,438,Neutral,Sitting,Both Hands Up,Reading Book
person1,230,432,Neutral,Sitting,Both Hands Up,Reading Book
person1,228,407,Neutral,Standing,Down,None
person1,218,389,Neutral,Walking,Down,None
person1,203,380,Neutral,Walking,Down,None
person1,190,366,Sad,Sitting,Down,None
person1,177,331,Sad,Sitting,Down,Reading Book
person1,162,274,Sad,Sitting,Down,Reading Book
